1663743326422559675,1663743326297788999,A,GARAN.E,B,19.8,59,1,7621969089428935918
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.8,60,200,7621969089428957680
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.8,61,1,7621969089428970573
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.8,62,80,7621969089428971501
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.78,63,10,7621969089428673770
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.78,64,41,7621969089428682663
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.75,65,5000,7621969089428617208
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.75,66,3000,7621969089428619292
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.75,67,250,7621969089428621444
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.75,68,1,7621969089428663227
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.75,69,455,7621969089428691749
1663743326422559675,1663743326297788999,A,GARAN.E,B,19.74,70,10000,7621969089428992627
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.73,71,100,7621969089428634258
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.73,72,10,7621969089428744313
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.72,73,1000,7621969089428692607
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.71,74,100,7621969089428634231
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.71,75,10,7621969089428673771
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.71,76,30,7621969089428786262
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,77,100,7621969089428647481
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,78,1,7621969089428663224
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,79,50,7621969089428670034
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,80,152,7621969089428674044
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,81,100,7621969089428678171
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,82,50,7621969089428730575
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,83,2000,7621969089428792880
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,84,10,7621969089428741703
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,85,100,7621969089428929162
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,86,4000,7621969089428957519
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.7,87,500,7621969089428974086
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.69,88,100,7621969089428634230
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.69,89,1,7621969089428887429
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.68,90,55,7621969089428664770
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.68,91,5,7621969089428691832
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.68,92,5,7621969089428703666
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.68,93,200,7621969089428878986
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.67,94,100,7621969089428634227
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.66,95,100,7621969089428678208
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.65,96,100,7621969089428634204
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.65,97,1,7621969089428663217
1663743326422569422,1663743326297788999,A,GARAN.E,B,19.64,98,2000,7621969089428651461
