bist_time,ask_price1,ask_vol1,ask_price2,ask_vol2,ask_price3,ask_vol3,bid_price1,bid_vol1,bid_price2,bid_vol2,bid_price3,bid_vol3
1663743604150095055,19.92,61584,19.93,39198,19.94,25075,19.9,18175,19.89,3925,19.88,10505
1663743604150095055,19.92,61584,19.93,39198,19.94,25075,19.9,16415,19.89,3925,19.88,10505
1663743604553883066,19.92,84065,19.93,39787,19.94,25075,19.9,16555,19.89,3925,19.88,10505
1663743604554063027,19.92,84065,19.93,39787,19.94,25075,19.9,13867,19.89,3925,19.88,10505
1663743604646521218,19.92,84064,19.93,47244,19.94,25075,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,84063,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,84062,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,84061,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,84060,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,84059,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604731023335,19.92,83064,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743604737571196,19.92,80500,19.93,47244,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605021924245,19.92,78000,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605099106583,19.92,77930,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605425853871,19.92,75500,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605518818530,19.92,74500,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605518818530,19.92,72376,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605799638643,19.92,71876,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605799638643,19.92,64995,19.93,47994,19.94,27604,19.9,13867,19.89,3925,19.88,10505
1663743605843527181,19.92,141644,19.93,47994,19.94,27604,19.9,17967,19.89,3926,19.88,11053
1663743605843527181,19.92,141160,19.93,47994,19.94,27604,19.9,17967,19.89,3926,19.88,11053
1663743605892113669,19.92,141144,19.93,47994,19.94,27604,19.9,17967,19.89,3926,19.88,11053
1663743605907892332,19.92,141136,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743605985707994,19.92,141428,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606255909793,19.92,140878,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606544890697,19.92,140876,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606544971595,19.92,140874,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606758202842,19.92,140873,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606934428730,19.92,140872,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606937062052,19.92,140372,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139478,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139477,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139377,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139327,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139277,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,139027,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,138132,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606938149733,19.92,136644,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606944615372,19.92,136592,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
1663743606959074964,19.92,136442,19.93,47994,19.94,27604,19.91,5,19.9,17968,19.89,3926
