bist_time,ask,bid,volume
1663743635731668741,19.93,19.92,543844
1663743636890790737,19.93,19.92,543844
1663743636892539970,19.93,19.92,543844
1663743637106529760,19.93,19.92,543844
1663743637968338131,19.93,19.92,545114
1663743637968338131,19.93,19.92,545114
1663743638940985950,19.93,19.92,568418
1663743638940985950,19.93,19.92,568418
1663743639048312572,19.93,19.92,567797
1663743640106091098,19.93,19.92,667834
1663743640904125469,19.93,19.92,667934
1663743641395668642,19.93,19.92,668383
1663743641395829276,19.93,19.92,668383
1663743641395829276,19.93,19.92,668383
1663743642353474007,19.93,19.92,668934
1663743643425161031,19.93,19.92,668949
1663743643566167196,19.93,19.92,669158
1663743643566167196,19.93,19.92,669158
1663743644766183807,19.93,19.92,669163
1663743644831562696,19.93,19.92,669163
1663743644831562696,19.93,19.92,669163
1663743644831562696,19.93,19.92,669163
1663743644855051160,19.93,19.92,669163
1663743645102621589,19.93,19.92,669263
1663743645103079933,19.93,19.92,669263
1663743646082271657,19.93,19.92,669962
1663743646594821742,19.93,19.92,669962
1663743646594821742,19.93,19.92,669962
1663743647387747447,19.93,19.92,669962
1663743647387747447,19.93,19.92,669962
1663743650144370555,19.93,19.92,671201
1663743650235567768,19.93,19.92,671201
1663743650235567768,19.93,19.92,671201
1663743650235567768,19.93,19.92,671201
1663743650987943364,19.93,19.92,671251
1663743651304229195,19.93,19.92,671251
1663743652832947682,19.93,19.92,672374
1663743653392301073,19.93,19.92,672374
1663743654128171960,19.93,19.92,676257
1663743655788602093,19.93,19.92,683293
1663743655788659019,19.93,19.92,683293
1663743655788680883,19.93,19.92,683293
1663743655952242214,19.93,19.92,681151
1663743655993249262,19.93,19.92,680759
1663743656099959858,19.93,19.92,680759
1663743656099959858,19.93,19.92,680759
1663743656099959858,19.93,19.92,680371
1663743658480872874,19.93,19.92,680471
1663743658481175261,19.93,19.92,680471
1663743658481175261,19.93,19.92,680140
1663743658481175261,19.93,19.92,680140
1663743659598593742,19.93,19.92,680140
1663743659775141466,19.93,19.92,681420
1663743660002060953,19.93,19.92,681420
1663743661014974006,19.93,19.92,683070
1663743661014974006,19.93,19.92,683070
1663743661014974006,19.93,19.92,683070
1663743661543107406,19.93,19.92,683072
1663743661543107406,19.93,19.92,683072
1663743661543107406,19.93,19.92,682406
1663743661543107406,19.93,19.92,682406
1663743661876317024,19.93,19.92,682587
1663743662178370036,19.93,19.92,682588
1663743662178370036,19.93,19.92,682588
1663743662178370036,19.93,19.92,682588
1663743662178693526,19.93,19.92,682588
1663743662469388496,19.93,19.92,682588
1663743662958058039,19.93,19.92,683728
1663743662988354645,19.93,19.92,683728
1663743664977668113,19.93,19.92,689089
1663743664977668113,19.93,19.92,689089
1663743664977668113,19.93,19.92,689089
1663743664977668113,19.93,19.92,689089
1663743665339884582,19.93,19.92,690089
1663743665558657248,19.93,19.92,690089
1663743666811244766,19.94,19.92,687896
1663743666811244766,19.94,19.92,686554
1663743666930404141,19.94,19.92,696103
1663743667568178541,19.94,19.92,696103
1663743667568178541,19.94,19.92,696103
1663743667568178541,19.94,19.92,696103
1663743668224248158,19.94,19.92,697603
1663743668441691945,19.94,19.92,698241
1663743668441720450,19.94,19.92,698241
1663743668454481701,19.94,19.92,698241
1663743668837305285,19.94,19.92,698241
1663743669067894579,19.94,19.92,698241
1663743669067894579,19.94,19.92,698241
1663743670638896658,19.94,19.92,721765
1663743670857986972,19.94,19.92,721677
1663743670938311677,19.94,19.92,731588
1663743670938311677,19.94,19.92,729662
1663743670938311677,19.94,19.92,720035
1663743670938422355,19.94,19.92,720035
1663743670938422355,19.94,19.92,720035
1663743671020474998,19.94,19.92,720035
1663743671104286279,19.94,19.92,720035
1663743671104483053,19.94,19.92,720035
1663743671190276351,19.94,19.92,720035
1663743671190468354,19.94,19.92,720035
1663743671506857190,19.95,19.92,719419
1663743671506933625,19.95,19.92,719407
1663743671506975387,19.95,19.92,718795
1663743672899337779,19.95,19.92,719269
1663743675646664207,19.95,19.92,726676
1663743676175995914,19.95,19.92,725695
1663743676175995914,19.95,19.92,725695
1663743676175995914,19.95,19.92,723947
1663743676175995914,19.96,19.92,720595
1663743677100911268,19.96,19.92,729233
1663743677587854967,19.96,19.92,747674
1663743678149663032,19.96,19.92,749453
1663743678491678035,19.96,19.92,747935
1663743678491918620,19.97,19.92,741197
1663743678492669148,19.97,19.92,740254
1663743678492669148,19.98,19.92,733183
1663743678492669148,19.98,19.92,733183
1663743678492669148,19.98,19.92,733183
1663743678492669148,19.98,19.92,733183
1663743678492669148,19.98,19.92,733183
1663743678492669148,19.98,19.92,720909
1663743678492669148,19.99,19.92,684747
1663743678492739252,20.0,19.92,680876
1663743678494018476,20.0,19.99,706693
1663743678495330688,20.0,19.99,709194
1663743678495572787,20.0,19.99,707987
1663743678863188210,20.0,19.99,709487
1663743681058450326,20.0,19.99,723097
1663743681058516815,20.0,19.99,723097
1663743681783890678,20.0,19.99,723747
1663743682245140625,20.0,19.99,728747
1663743684539160071,20.0,19.99,732747
1663743685242284837,20.0,19.99,733747
1663743686559928709,20.0,19.99,734768
1663743686598152423,20.0,19.99,734768
1663743686942419030,20.0,19.99,729163
1663743686942419030,20.0,19.99,729163
1663743686942419030,20.0,19.99,727893
1663743686942419030,20.0,19.99,727893
1663743686942419030,20.0,19.99,724012
1663743686942419030,20.0,19.99,719423
1663743686942419030,20.0,19.99,718327
1663743686942419030,20.0,19.99,716753
1663743686942419030,20.0,19.99,716753
1663743686942419030,20.0,19.99,716753
1663743686942419030,20.0,19.99,716753
1663743686942419030,20.0,19.99,716753
1663743686942419030,20.0,19.99,716556
1663743686942419030,20.0,19.99,716556
1663743686942419030,20.0,19.99,705890
1663743686942419030,20.0,19.99,705890
1663743688712844251,20.0,19.99,702752
1663743688713902966,20.0,19.99,702752
1663743688715020480,20.0,19.99,702752
1663743688715020480,20.0,19.99,702752
1663743688715293868,20.02,19.99,702132
1663743690312445057,20.02,19.99,702138
1663743691873626698,20.02,19.99,738259
1663743692666699342,20.02,19.99,738262
1663743692666699342,20.02,19.99,738073
1663743694089738500,20.02,19.99,745839
1663743694089738500,20.02,19.99,745096
1663743694090295895,20.02,19.99,745096
1663743694132065282,20.02,19.99,745096
1663743694132065282,20.02,19.99,745096
1663743694132065282,20.02,19.99,742361
1663743694495911330,20.02,19.99,743423
